artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,review_status,notes
PO-README-001,README.md,packet_readme,readiness_boundary,concept_only,,none,self_checked,"Declares L2 candidate status and blocks build-ready claims."
PO-DESIGN-001,design.md,design_brief,mechanism_scaffold,concept_only,,none,self_checked,"Mechanism and parametric intent only; contains no pipe lengths tuning values wind pressure values CAD geometry or DXF coordinates."
PO-BOM-001,bom.csv,bom_table,parts_family_estimate,pending_measurement,design.md,estimate_labels_only,self_checked,"Estimated part families only; all physical specifications remain pending."
PO-CUT-001,cut-list.csv,cut_list,blank_family_estimate,pending_measurement,design.md,estimate_labels_only,self_checked,"Estimated blank and mule part families only; no released sizes or fabrication coordinates."
PO-CAD-LOG-001,cad/mcp-session-log.md,provenance_log,mcp_log,concept_only,decision-record.md,none,self_checked,"Documents that no MCP CAD image or creative-tool session produced artifacts."
PO-DECISION-001,decision-record.md,decision_record,open_questions,concept_only,docs/plans/2026-05-30-round7/codex-new-portative-organ.md,none,self_checked,"Records taxonomy decision qmd Step 0 behavior and open measurement questions."
PO-CAD-PLAN-001,cad/portative-organ.scad,cad_source_planned,future_parametric_cad,pending_measurement,design.md,planned_missing_artifact,unreviewed,"Future CAD source only; not present and not implied by this L2 packet."
PO-DXF-PLAN-001,drawings/windchest-layout.dxf,dxf_export_planned,future_windchest_template,pending_measurement,PO-CAD-PLAN-001,planned_missing_artifact,unreviewed,"Future DXF only after measured windchest key pallet and pipe-foot layout exists."
PO-PIPE-PLAN-001,tables/pipe-scale.csv,design_table_planned,future_pipe_scale_table,pending_measurement,design.md,planned_missing_artifact,unreviewed,"Future measured or reviewed pipe-scale table; no tuning or pipe-length numbers are supplied."
